job_state,job_region,Sector,Company_Age,Avg_Company_Revenue,Avg_Company_Size,Job_Title,Avg_Salary,Min_Salary,Max_Salary,Usr_Rating,Python_y_n,R_y_n,Spark_y_n,AWS_y_n,Excel_y_n
NM,Southwest,Aerospace & Defense,47,75000000.0,750,Data Scientist,72.0,53,91,3.8,1,0,0,0,1
MD,Northeast,Health Care,36,3000000000.0,10000,Data Scientist,87.5,63,112,3.4,1,0,0,0,0
FL,Southeast,Business Services,10,150000000.0,750,Data Scientist,85.0,80,90,4.8,1,0,1,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,750000000.0,3000,Data Scientist,76.5,56,97,3.8,1,0,0,0,0
NY,Northeast,Business Services,22,150000000.0,125,Data Scientist,114.5,86,143,2.9,1,0,0,0,1
TX,Southwest,Real Estate,20,1500000000.0,350,Data Scientist,95.0,71,119,3.4,1,0,0,1,1
MD,Northeast,Finance,12,1500000000.0,750,Data Scientist,73.5,54,93,4.1,0,0,0,0,1
CA,West,Business Services,15,37500000.0,350,Data Scientist,114.0,86,142,3.8,1,0,1,1,1
NY,Northeast,Health Care,6,750000000.0,10000,Research Scientist,61.0,38,84,3.3,0,0,0,0,0
NY,Northeast,Information Technology,11,150000000.0,125,Data Scientist,140.0,120,160,4.6,1,0,1,0,0
CA,West,Retail,9,1500000000.0,750,Data Scientist,163.5,126,201,3.5,1,0,0,0,0
VA,Southeast,Business Services,52,1500000000.0,7500,Data Scientist,85.0,64,106,4.1,0,0,0,0,0
TX,Southwest,Retail,58,15000000000.0,10000,Data Scientist,139.0,106,172,3.2,0,0,0,0,0
WA,West,Business Services,8,1500000000.0,350,Data Analyst,65.5,46,85,4.1,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,239,15000000000.0,10000,Data Scientist,113.5,83,144,3.7,1,0,1,0,0
NJ,Northeast,Media,25,150000000.0,3000,Data Engineer,146.0,102,190,3.6,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,9,1500000.0,125,Research Scientist,102.0,67,137,3.9,0,0,0,0,1
CA,West,Information Technology,9,1500000000.0,350,Data Scientist,153.5,118,189,4.3,1,0,1,1,1
CA,West,Information Technology,10,150000000.0,125,Data Scientist,142.5,110,175,4.2,0,0,0,0,0
CO,West,Insurance,105,750000000.0,750,Data Scientist,87.5,64,111,4.0,1,0,0,0,1
WA,West,Information Technology,8,1500000000.0,350,Data Scientist,105.5,81,130,3.2,1,0,1,0,0
TX,Southwest,Insurance,7,1500000000.0,350,Data Scientist,96.0,73,119,3.9,0,0,0,0,1
IL,Midwest,Transportation & Logistics,25,1500000000.0,750,Data Scientist,112.5,86,139,3.8,1,0,0,1,1
KY,Southeast,Transportation & Logistics,85,15000000.0,125,Data Scientist,84.0,63,105,4.3,1,0,0,0,1
VA,Southeast,Information Technology,8,150000000.0,750,Data Scientist,143.0,109,177,4.0,1,0,0,1,0
MA,Northeast,Biotech & Pharmaceuticals,171,15000000000.0,10000,Data Scientist,86.5,63,110,4.0,1,0,0,1,1
OR,West,Finance,68,150000000.0,3000,Data Scientist,99.5,75,124,3.5,1,0,1,1,1
MA,Northeast,Insurance,168,7500000000.0,7500,Data Analyst,47.5,34,61,3.7,0,0,0,0,1
CT,Northeast,Biotech & Pharmaceuticals,171,15000000000.0,10000,Data Scientist,84.0,63,105,4.0,0,0,0,1,1
FL,Southeast,Business Services,10,150000000.0,750,Data Scientist,85.0,80,90,4.8,1,0,1,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,750000000.0,3000,Data Scientist,76.5,56,97,3.8,1,0,0,0,0
MI,Midwest,Real Estate,23,750000000.0,3000,Data Scientist,96.0,72,120,3.6,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,24,15000000000.0,10000,Data Scientist,114.5,86,143,3.8,1,0,0,0,0
CA,West,Telecommunications,24,3000000000.0,7500,Data Scientist,121.0,93,149,3.8,1,0,1,0,1
